 aba ,NEO,DATA,PREFIXO,KM,SERVIÇOS,TIPO DE MANUTENÇÃO,EMPRESA,VALOR,RESULTADO,
*****,*****,02/01/2026,UR-17102,46.431 ,INSPEÇÃO DE FREIOS (COMPLETADO O RESERVATÓRIO DO FLUIDO DE FREIO). OBS.: PRÓXIMA INSPEÇÃO AOS 50.000 KM, PREVENTIVA ,MOTOMEC, R$  -   ,CONCLUÍDO,
*****,4387,*****,UR-17102,*****,"1.     Fornecer e substituir Kit de embreagem original- conforme especificação do fabricante;
2.     Fornecer e substituir a troca do Óleo da  transmisssão;
3.     Fornecer e substituir Atuador de embreagem;
4      Fornecer e substituir Retentor volante motor;
5.     Fornecer e substituir Volante do motor.", CORRETIVA ,*****, R$  -   ,CANCELADO NA NEO,"OS parada sem aprovação a mais de 3 meses, estamos cancelando, caso se faça necessário abrir uma nova OS"
*****,4720,04/11/2025,CA-17001,255.995 ,"1. Executar serviço  de funilaria e pintura na parte externa da cabine;
 2. Executar e fornecer adesivagem (grafismo), conforme padrão do Bombeiro.", CORRETIVA ,MAGNIFICAR," R$  11.099,70 ",FINALIZADO NA NEO,
*****,4864,,ABS-17101,,"1.     Executar serviço de  funilaria e pintura no teto;
2.     Fornecer e executar serviço de adesivagem conforme padrão estabelecido pelo Corpo de Bombeiros.", CORRETIVA ,MAGNIFICAR," R$  3.120,00 ",APROVADO NA NEO,AGUARDANDO EXECUÇÃO DO SERVIÇO
*****,4869,???,UR-17208,???,"1.        Fornecer e substituir o óleo do motor conforme especificação do fabricante;
2.        Fornecer e substituir o filtro de óleo do motor conforme especificação do fabricante;
3.        Fornecer e substituir o filtro de combustível conforme especificação do fabricante;
4.        Fornecer e substituir o filtro de ar da cabine (habitáculo) conforme especificação do fabricante.
5.     Fornecer e substituir o filtro de ar do motor conforme especificação do fabricante.", PREVENTIVA ,AGUIAR," R$  1.996,62 ",FINALIZADO NA NEO,
*****,4870,???,UR-17212,???,"1.        Fornecer e substituir o óleo do motor conforme especificação do fabricante;
2.        Fornecer e substituir o filtro de óleo do motor conforme especificação do fabricante;
3.        Fornecer e substituir o filtro de combustível conforme especificação do fabricante;
4.        Fornecer e substituir o filtro de ar da cabine (habitáculo) conforme especificação do fabricante.
5.     Fornecer e substituir o filtro de ar do motor conforme especificação do fabricante.", PREVENTIVA ,BHB," R$  1.943,09 ",FINALIZADO NA NEO,
*****,4947,???,UR-17212,???, Fornecer e substituir chave de seta original- conforme especificação do fabricant, CORRETIVA ,LAB CAR," R$  4.256,72 ",FINALIZADO NA NEO,
*****,4970,,UR-17212,,"1.     Fornecer e substituir Kit de embreagem original- conforme especificação do fabricante;
2.     Fornecer e substituir a troca do Óleo da  transmisssão;
3.     Fornecer e substituir Atuador de embreagem;
4      Fornecer e substituir Retentor volante motor;
5.     Fornecer e substituir Volante do motor.", CORRETIVA ,,,PENDENTE NA NEO,
263,5061,07/01/2026,AC-17001,72.480 ,"1.        Fornecer e substituir miolo do diferencial traseiro (porquinho) conforme especificação do fabricante;
2.        Fornecer e substituir ponta de eixo traseira le conforme especificação do fabricante;
3.        Fornecer silicone cinza wurth;
4.        Fornecer e substituir oleo diferencial traseiro lt conforme especificação do fabricante;
5.     Fornecer serviço de guincho para transporte até a oficina.
", CORRETIVA ,BF DIESEL," R$  17.204,08 ",FINALIZADO NA NEO,
259,5077,09/02/2026,ABS-17102,178.121 ,"1.        Fornecer e substituir 02 conjunto de lona de freio fd/59 conforme especificação do fabricante;
2.        Fornecer e substituir rebites 10x12;
3.        Fornecer e substituir 04 molas do patim de freio master grande 02 corpos conforme especificação do fabricante;
4.        Fornecer e substituir 08 molas do  patim de freio master pequena 130mm conforme especificação do fabricante;
5.        Fornecer e substituir 08 roletes do patim de freio 32mm master;
6.        Fornecer e substituir 08 travas do rolete master conforme especificação do fabricante;
7.     Fornecer e substituir tambor dianteiro e traseiro lado E/D.", CORRETIVA ,BF DIESEL," R$  3.270,06 ",FINALIZADO NA NEO,
272,*****,08/01/2026,UR-17101,51.080 ,CAIXA DE DIREÇÃO (GARANTIA), CORRETIVA ,J KAR, R$  -   ,CONCLUÍDO,
*****,5162,03/02/2026,AC-17002,178.856 ,"1.        Fornecer e substituir 02 tambores de freio traseiro conforme especificação do fabricante;
2.        Fornecer e substituir jogo de sapatas de freio traseiro;
3.        Fornecer e substituir cilindros da roda traseira LE/LD, conforme especificação do fabricante;
4.        Fornecer e substituir fluido de freio dot 4, conforme especificação do fabricante;
5.        Fornecer e substituir correia da direção hidraúlica conforme especificação do fabricante;
6.        Fornecer e substituir correia do alternado, conforme especificação do fabricante;
7.     Defletor do radiador, conforme especificação do fabricante.
", CORRETIVA ,BF DIESEL," R$  3.418,52 ",FINALIZADO NA NEO,
*****,5164,*****,UR-17214,*****,Fornecer e substituir 01 bateria automotiva 12V / 92Ah - vrla / agm - MOURA., CORRETIVA ,*****, R$  -   ,CANCELADO NA NEO,ERRO NA DESCRIÇÃO DA SOLICITAÇÃO DE SERVIÇOS
*****,5166,,UR-17211,,"1.     Substituir quatro pneus ( OS PNEUS SERÃO FORNECIDOS PELO CORPO DE BOMBEIROS 17ºGB );
2.     Fornecer e substituir quatro válvulas de pneu conforme especificação do fabricante;
3.     Fornecer e executar quatro balanceamentos;
4      Executar alinhamento de direção.", CORRETIVA ,BHB," R$  587,63 ",APROVADO NA NEO,
*****,5168,*****,UR-17208,*****,"1.	Fornecer e substituir rodas fonicas e sensores, conforme especificação do veículo;
2.	Fornecer e executar alinhamento de direção;
3.	Fornecer e substituir 04 balanceamentos de pneus.", CORRETIVA ,*****, R$  -   ,CANCELADO NA NEO,ERRO NA SOLICITAÇÃO DE SERVIÇOS
*****,*****,12/01/2026,ABS-17205,75.663 ,"GARANTIA (problemas na manga de eixo, embuchamento e cambagem)", CORRETIVA ,RP TRUCK, R$  -   ,FINALIZADO NA NEO,
*****,5189,*****,UR-17213,*****," Executar e fornecer diagnostico, teste de funcionamento mecanico e de estanqueidade dos sistema de ar condicionado.", CORRETIVA ,*****, R$  -   ,CANCELADO NA NEO,"OS parada sem o envio do veiculo mais de 15 dias, por favor abrir uma nova OSs, assim que o veiculo puder ir ate a oficina para analise "
*****,5199,*****,MOB-17106,*****,"1.     Fornecer e substituir óleo de moto conforme especificação do fabricante;
2.     Fornecer e substituir filtro de óleo de moto conforme especificação do fabricante;
3.     Fornecer e substituir filtro de ar conforme especificação do fabricante.", PREVENTIVA ,*****, R$  -   ,CANCELADO NA NEO,manutenção efetuada na unidade
*****,5200,*****,MOB-17107,*****,"1.     Fornecer e substituir óleo de moto conforme especificação do fabricante;
2.     Fornecer e substituir filtro de óleo de moto conforme especificação do fabricante;
3.     Fornecer e substituir filtro de ar conforme especificação do fabricante.", PREVENTIVA ,*****, R$  -   ,CANCELADO NA NEO,ERRO NA DESCRIÇÃO DA SOLICITAÇÃO DE SERVIÇO
*****,5204,*****,ABS-17201,*****," Executar e fornecer diagnostico, teste de funcionamento mecanico e de estanqueidade dos sistema de ar condicionado.", CORRETIVA ,*****, R$  -   ,CANCELADO NA NEO,"OS parada sem o envio do veiculo mais de 15 dias, por favor abrir uma nova OSs, assim que o veiculo puder ir ate a oficina para analise "
*****,5209,,UR-17214,,"1.        Fornecer e substituir 01 bateria automotiva 12V / 92Ah - vrla / agm / CCA 850 - MOURA. ( COM CASCO A BASE DE TROCA )
2.     Fornecer e substituir 01 bateria automotiva 12V - C20 / 150Ah -  CCA 950 - MOURA. ( COM CASCO A BASE DE TROCA )
", CORRETIVA ,,,PENDENTE NA NEO,
*****,5211,*****,MOB-17107,*****,"1.     Fornecer e substituir óleo de moto conforme especificação do fabricante;
2.     Fornecer e substituir filtro de óleo de moto conforme especificação do fabricante;
3.     Fornecer e substituir filtro de ar conforme especificação do fabricante;
4.     Fornecer e substituir pastilhas de freio traseiro e dianteiro conforme especificação do fabricante.", PREVENTIVA ,*****, R$  -   ,CANCELADO NA NEO,manutenção efetuada na unidade
7,5218,03/02/2026,ABS-17205,75.541 ,"1.     Fornecer e executar TROCA DO ROLAMENTO da roda; 
2.     Fornecer e executar troca do RETENTOR;
3.     Fornecer e executar troca de BUCHA;
4.     Fornecer e executar troca das PORCAS E CALÇOS;
5.     Executar REPARO DA CAIXA DE DIREÇÃO;
6.     Executar REPARO DA BARRA CURTA E BARRA LONGA;
7.     Fornecer e executar LUBRIFICAÇÃO.", CORRETIVA ,RP TRUCK," R$  13.544,01 ",EXECUTADO,
*****,5233,,UR-17214,," Fornecer e executar a troca de 02 sensores do pedal da embreagem, superior e inferior.", CORRETIVA ,BF DIESEL," R$  1.456,76 ",APROVADO NA NEO,
3,*****,16/01/2026,TP-17000,13.140 ,REPARO EM CHICOTE DO RÁDIO COMUNICADOR, CORRETIVA ,VISUAL SHINE,,CONCLUÍDO,
10,*****,16/01/2026,UT-17003,,REAPERTO DOS FIXADORES  DO CHICOTE DO RAY LIGHT , CORRETIVA ,VISUAL SHINE,,CONCLUÍDO,
*****,*****,16/01/2026,UR-17105,,REPARO DO BLOCO SINALIZADOR DO RAY LIGHT, CORRETIVA ,VISUAL SHINE,,CONCLUÍDO,
*****,5240,,AT-17101,,"1.	Fornecer e substituir óleo motor conforme especificação do fabricante;
2.	Fornecer e substituir filtro de óleo do motor conforme especificação do fabricante;
3.	Fornecer e substituir filtro RACOR conforme especificação do fabricante;
4.	Fornecer e substituir filtro de combustível conforme especificação do fabricante;
5.	Fornecer e substituir filtro de ar conforme especificação do fabricante;
6.	Fornecer e substituir filtro do habitáculo especificação do fabricante.", PREVENTIVA ,,,PENDENTE NA NEO,
*****,5245,*****,UR-17214,*****,"1.     Fornecer e substituir Kit de embreagem original- conforme especificação do fabricante;
2.     Fornecer e substituir a troca do Óleo da  transmisssão;
3.     Fornecer e substituir Atuador de embreagem;
4      Fornecer e substituir Retentor volante motor;
5.     Fornecer e substituir Volante do motor;
6.     FORNECER SERVIÇO DE GUINCHO. ( localização do veículo: R. Regina Cabalau Mendonça, 364 - Jardim Japao, Suzano) ", CORRETIVA ,*****, R$  -   ,CANCELADO NA NEO,Veículo com diagnóstico errado.
*****,*****,19/01/2026,ABS-17105,77.805 ,TROCA DE ÓLEO E FILTROS; REVISÃO DE FREIOS; LAVAGEM E ENGRAXAMENTO. OBS.: PRÓXIMA REVISÃO DE FREIOS AOS 87.805 KM, PREVENTIVA ,PB GUARAREMA, R$  -   ,CONCLUÍDO,
*****,5283,*****,VO-17100,*****,"1. Fornecer e substituir pastilhas de freios dianteira conforme especificação do fabricante;
2. Fornecer e substituir fluído de freio conforme especificação do fabricante.", PREVENTIVA ,*****, R$  -   ,CANCELADO NA NEO,ERRO NA DESCRIÇÃO DA SOLICITAÇÃO DE SERVIÇO
*****,5286,???,UR-17211,???,"1.	Fornecer e substituir o óleo do motor conforme especificação do fabricante;
2.	Fornecer e substituir o filtro de óleo do motor conforme especificação do fabricante;
3.	Fornecer e substituir o filtro de combustível conforme especificação do fabricante;
4.	Fornecer e substituir o filtro de ar da cabine (habitáculo) conforme especificação do fabricante.
5.     Fornecer e substituir o filtro de ar do motor conforme especificação do fabricante.", PREVENTIVA ,BF DIESEL," R$  2.382,57 ",EXECUTADO,
*****,5300,*****,UR-17208,*****,"1.	Fornecer e substituir o conjunto do freio estacionário (SAPATA COM LONAS, CATRACA, KIT DE MOLAS E REPAROS) CONFORME ESPECIFICAÇÃO DO FABRICANTE;
2.	Fornecer e substituir o conjunto de PASTILHA DE FREIOS DIANTEIRO E TRASEIRO CONFORME ESPECIFICAÇÃO DO FABRICANTE;
3.	Fornecer e substituir o fluído de freio conforme especificação do fabricante;
4.           Fornecer e substituir PALHETAS DO LIMPADOR DE PARA-BRISA.", PREVENTIVA ,*****, R$  -   ,CANCELADO NA NEO,DIPLICIDADE DE SOLICITAÇÃO DE SERVIÇOS
*****,5301,,UR-17208,,"1.	Fornecer e substituir o conjunto do freio estacionário (SAPATA COM LONAS, CATRACA, KIT DE MOLAS E REPAROS) CONFORME ESPECIFICAÇÃO DO FABRICANTE;
2.	Fornecer e substituir o conjunto de PASTILHA DE FREIOS DIANTEIRO E TRASEIRO CONFORME ESPECIFICAÇÃO DO FABRICANTE;
3.	Fornecer e substituir o fluído de freio conforme especificação do fabricante;
4.           Fornecer e substituir PALHETAS DO LIMPADOR DE PARA-BRISA.", PREVENTIVA ,,,PENDENTE NA NEO,
24,5302,,UR-17212,,Fornecer e substituir 01 bateria automotiva 12V / 92Ah - vrla / agm / CCA 850 - MOURA. (COM CASCO A BASE DE TROCA) , PREVENTIVA ,,,PENDENTE NA NEO,
*****,5303,,VO-17100,,"1.	Fornecer e substituir pastilhas de freios dianteira conforme especificação do veículo;
2.	Fornecer e substituir fluído de freio conforme especificação do veículo;
3.     Fornecer e substituir discos de freios dianteira conforme especificação do veículo.", PREVENTIVA ,,,PENDENTE NA NEO,
*****,5316,,UR-17208,,"1.    Fornecer e substituir quatro pneus 225/65R16 FIRESTONE conforme especificação do veículo;
2.     Fornecer e substituir quatro válvulas de pneu conforme especificação do veículo;
3.     Fornecer e executar quatro balanceamentos;
4      Executar alinhamento de direção. ", PREVENTIVA ,,,PENDENTE NA NEO,
*****,5319,,ABS-17106,,"1.	Fornecer e substituir óleo motor conforme especificação do veículo;
2.	Fornecer e substituir filtro de óleo do motor conforme especificação do veículo;
3.	Fornecer e substituir filtro RACOR conforme especificação do veículo;
4.	Fornecer e substituir filtro de combustível conforme especificação do veículo;
5.	Fornecer e substituir filtro de ar conforme especificação do veículo;
6.	Fornecer e substituir filtro do habitáculo especificação do veículo.", PREVENTIVA ,,,PENDENTE NA NEO,
*****,*****,04/02/2026,AC-17002,178.863 ,TROCA DE BATERIA (CRAL) PRINCIPAL 90 AMPERES , CORRETIVA ,MOTOMEC,,CONCLUÍDO,
*****,5354,,UR-17214,,"1.	Fornecer e substituir o óleo do motor conforme especificação do fabricante;
2.	Fornecer e substituir o filtro de óleo do motor conforme especificação do fabricante;
3.	Fornecer e substituir o filtro de combustível conforme especificação do fabricante;
4.	Fornecer e substituir o filtro de ar da cabine (habitáculo) conforme especificação do fabricante.
5.          Fornecer e substituir o filtro de ar do motor conforme especificação do fabricante;
6.          Fornecer e substituir PALHETAS DO LIMPADOR DE PARA-BRISAS.", PREVENTIVA ,,,PENDENTE NA NEO,
*****,5355,,ABS-17201,,"1.      Fornecer e substituir o óleo do motor conforme especificação do fabricante;
2.      Fornecer e substituir o filtro de óleo do motor conforme especificação do fabricante;
3.      Fornecer e substituir o filtro de combustível conforme especificação do fabricante;
4.      Fornecer e substituir o filtro de ar do motor conforme especificação do fabricante;
5.      Fornecer e substituir o filtro de ar da cabine (habitáculo) conforme especificação do fabricante.
6.      Fornecer e substituir o filtro Racor.
7.      Fornecer e substituir o óleo da caixa de transferência (bomba de incêndio).", PREVENTIVA ,,,PENDENTE NA NEO,
*****,5358,,UR-17210,,"1.	 Fornecer e substituir 01 bateria automotiva 12V L5 / 95Ah - 850 A (EN) MOURA. (COM CASCO A BASE DE TROCA);
2.	 Fornecer e substituir PALHETAS DO LIMPADOR DE PARA-BRISA", PREVENTIVA ,,,PENDENTE NA NEO,
*****,5361,,ABS-17101,,   Verificar caixa de transferência da bomba de incêndio., CORRETIVA ,,,PENDENTE NA NEO,
*****,5365,,ABS-17204,,"1.      Fornecer e substituir junta do cabeçote conforme especificação do fabricante;
2.       Fornecer e substituir junta do coletor e admissão conforme especificação do fabricante;
3.      Fornecer e substituir junta do coletor do escape conforme especificação do fabricante;
4.      Fornecer e substituir junta da tampa de válvula conforme especificação do fabricante;
5.      Fornecer e substituir válvula termostática conforme especificação do fabricante.
6.      Fornecer e substituir junta da carcaça da válvula conforme especificação do fabricante;
7.      Fornecer e substituir óleo e filtros do motor conforme especificação do fabricante;
8.      Executar limpeza do sistema de arrefecimento;
9.      Fornecer e substituir líquido de arrefecimento conforme especificação do fabricante;
10.    Executar teste de cabeçote.
11.    FORNECER SERVIÇO DE GUINCHO PARA TRANSPORTE DO VEÍCULO ATÉ  A OFICINA.", CORRETIVA ,,,PENDENTE NA NEO,
*****,*****,04/02/2026,ABS-17101,77.100 ,REPARO NOS COXINS DOS QUEBRA-ONDAS (GARANTIA), CORRETIVA ,VANDERLEI, R$  -   ,CONCLUÍDO,
*****,*****,05/02/2026,AC-17001,74.000 ,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO: 76000), PREVENTIVA ,MOTOMEC, R$  -   ,CONCLUÍDO,
*****,*****,11/02/2026,ABS-17102,178.000 ,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO: 185.000), PREVENTIVA ,BF DIESEL/ SEBINHO,,CONCLUÍDO,
*****,*****,11/02/2026,VO-17203, ,TROCA DAS PORCAS DAS RODAS DE LIGA LEVE (FORNECIDAS PELO VENDEDOR), PREVENTIVA ,MOTOMEC, R$  -   ,CONCLUÍDO,
*****,*****,13/02/2026,UR-17214,59.600 ,TROCA DE ÓLEO E FILTROS, PREVENTIVA ,BF DIESEL,,CONCLUÍDO,
*****,*****,23/02/2026,TP-17200,4.085 ,"PROBLEMA NA SIRENE - GARANTIA (SERVIÇOES REALIZADOS: AFERIÇÃO DE BATERIA; TESTE DE SIRENE ATIVO COM VTR LIGADA; TROCA DO RELÊ 4 PINOS). OBS.:  SE A FALHA PERSISTIR, O PROBLEMA PODE SER O MÓDULO.", CORRETIVA ,ACTATEC, R$  -   ,CONCLUÍDO,
*****,*****,24/02/2026,VO-17003,,TROCA DAS PORCAS DAS RODAS DE LIGA LEVE (FORNECIDAS PELO VENDEDOR), PREVENTIVA ,MOTOMEC, R$  -   ,CONCLUÍDO,
